,product_name,quantity,price,image
0,Crème De La Mer,60.0,360.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
1,Crème De La Mer,100.0,570.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
2,The Moisturizing Cool Gel Cream,30.0,200.0,"https://images.shopdutyfree.com/image/upload/c_pad,f_auto,h_542,w_542/v1649948044/2848146/2848146_1_en_GB.jpg"
3,The Moisturizing Cool Gel Cream,60.0,422.0,"https://images.shopdutyfree.com/image/upload/c_pad,f_auto,h_542,w_542/v1649948044/2848146/2848146_1_en_GB.jpg"
4,The Lifting Eye Serum,15.0,310.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5EWT01_4x5_0.png?width=900&height=1125
5,The Eye Concentrate,15.0,225.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_40HW01_4x5_0.png?width=900&height=1125
6,The Moisturizing Matte Lotion,50.0,320.0,"https://images.shopdutyfree.com/image/upload/c_pad,f_auto,h_542,w_542/v1649947992/2570556/2570556_1_en_GB.jpg"
7,The Eye Balm Intense,15.0,270.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_2NF301_4x5_0.png?width=900&height=1125
8,The Treatment Lotion Hydrating Mask,0.0,190.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5PE901_4x5_0.png?width=900&height=1125
9,The Lifting And Firming Mask,50.0,310.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_54TR01_4x5_0.png?width=900&height=1125
10,The Intensive Revitalizing Mask,75.0,220.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_58T801_4x5_0.png?width=900&height=1125
11,The Renewal Oil,30.0,285.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HKJ01_4x5_0.png?width=900&height=1125
12,The Revitalizing Hydrating Serum,30.0,265.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5CRG01_4x5_0.png?width=900&height=1125
13,The Concentrate,50.0,590.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_431X01_4x5_0.png?width=900&height=1125
14,The Concentrate,15.0,238.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_431X01_4x5_0.png?width=900&height=1125
15,The Lifting Firming Serum,30.0,425.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5R2601_4x5_0.png?width=900&height=1125
16,The Lifting Contour Serum,30.0,357.0,"https://images.shopdutyfree.com/image/upload/c_pad,f_auto,h_542,w_542/v1649947907/2326170/2326170_1_en_GB.jpg"
17,The Essence Foaming Cleanser,125.0,95.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_41GY01_4x5_0.png?width=900&height=1125
18,The Tonic,200.0,95.0,"https://images.shopdutyfree.com/image/upload/c_pad,f_auto,h_542,w_542/v1649947810/2300769/2300769_1_en_GB.jpg"
19,The Hydrating Infused Emulsion,125.0,280.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5XPX01_4x5_0.png?width=900&height=1125
20,The Resurfacing Treatment,100.0,140.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5PLF01_4x5_0.png?width=900&height=1125
21,The Hand Treatment,100.0,110.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_22TW01_4x5_0.png?width=900&height=1125
22,The Moisturizing Soft Cream,100.0,570.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HK401_4x5_0.png?width=900&height=1125
23,The Moisturizing Soft Cream,60.0,380.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HK401_4x5_0.png?width=900&height=1125
24,The Moisturizing Soft Cream,30.0,200.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HK401_4x5_0.png?width=900&height=1125
25,The Moisturizing Soft Cream,15.0,100.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HK401_4x5_0.png?width=900&height=1125
26,The Hydrating Facial,0.0,240.0,"https://images.shopdutyfree.com/image/upload/c_pad,f_auto,h_542,w_542/v1649947824/2309488/2309488_1_en_GB.jpg"
