,product_name,quantity,price,image
0,Crème De La Mer,15.0,108.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
1,Crème De La Mer,30.0,222.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
2,Crème De La Mer,60.0,360.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
3,Crème De La Mer,100.0,570.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
4,Crème De La Mer,250.0,1130.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
5,The Moisturizing Soft Lotion,50.0,320.0,https:/cremedelamer.com/media/export/cms/products/responsive/lm_sku_5HHN01_4x5_0.png?width=900&height=1125
6,The Lip Volumizer,7.0,75.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5RHP01_4x5_0.png?width=900&height=1125
7,The Revitalizing Mist,100.0,90.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5WLC01_4x5_0.png?width=900&height=1125
8,The Essential Tonic,200.0,120.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5WAP01_4x5_0.png?width=900&height=1125
9,The Lifting Eye Serum,15.0,310.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5EWT01_4x5_0.png?width=900&height=1125
10,The Hydrating Facial,0.0,280.0,"https://images.shopdutyfree.com/image/upload/c_pad,f_auto,h_542,w_542/v1649947824/2309488/2309488_1_en_GB.jpg"
11,The Energizing Gel,200.0,105.0,"https://images.shopdutyfree.com/image/upload/c_pad,f_auto,h_542,w_542/v1712060299/6341166/6341166_1_en_GB.jpg"
12,The Hand Treatment,100.0,110.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_22TW01_4x5_0.png?width=900&height=1125
