,product_name,quantity,price,image
0,Crème De La Mer,15.0,100.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
1,Crème De La Mer,30.0,200.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
2,Crème De La Mer,60.0,380.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
3,Crème De La Mer,100.0,570.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
4,Crème De La Mer,500.0,2675.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_332002_4x5_0.png?width=900&height=1125
5,The Body Crème,300.0,315.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_27G201_4x5_0.png?width=900&height=1125
6,The Broad Spectrum SPF 50 UV Protecting Fluid,50.0,115.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_54J201_4x5_0.png?width=900&height=1125
7,The Concentrate,15.0,220.0,"https://images.shopdutyfree.com/image/upload/c_pad,f_auto,h_257,w_257/v1666188211/5250852/5250852_1_en_GB.jpg"
8,The Concentrate,30.0,440.0,"https://images.shopdutyfree.com/image/upload/c_pad,f_auto,h_257,w_257/v1666188211/5250852/5250852_1_en_GB.jpg"
9,The Concentrate,50.0,600.0,"https://images.shopdutyfree.com/image/upload/c_pad,f_auto,h_257,w_257/v1666188211/5250852/5250852_1_en_GB.jpg"
10,The Eye Concentrate,15.0,270.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_40HW01_4x5_0.png?width=900&height=1125
11,The Hand Treatment,100.0,110.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_22TW01_4x5_0.png?width=900&height=1125
12,The Hydrating Illuminator,40.0,95.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5X4301_4x5_0.png?width=900&height=1125
13,The Hydrating Infused Emulsion,50.0,125.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5XPX01_4x5_0.png?width=900&height=1125
14,The Hydrating Infused Emulsion,125.0,280.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5XPX01_4x5_0.png?width=900&height=1125
15,The Lifting and Firming Mask,50.0,310.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_54TR01_4x5_0.png?width=900&height=1125
16,The Lip Balm,10.0,80.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5X2101_4x5_0.png?width=900&height=1125
17,The Lip Volumizer,7.0,90.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5RHP01_4x5_0.png?width=900&height=1125
18,The Moisturizing Soft Cream,15.0,100.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HK401_4x5_0.png?width=900&height=1125
19,The Moisturizing Soft Cream,30.0,200.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HK401_4x5_0.png?width=900&height=1125
20,The Moisturizing Soft Cream,60.0,380.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HK401_4x5_0.png?width=900&height=1125
21,The Moisturizing Soft Cream,100.0,570.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HK401_4x5_0.png?width=900&height=1125
22,The Moisturizing Soft Cream,250.0,1375.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_4HK401_4x5_0.png?width=900&height=1125
23,The Neck and Décolleté Concentrate,50.0,330.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5KP101_4x5_0.png?width=900&height=1125
24,The New Lifting Firming Serum,15.0,220.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5R2601_4x5_0.png?width=900&height=1125
25,The New Lifting Firming Serum,30.0,425.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_5R2601_4x5_0.png?width=900&height=1125
26,The Regenerating Serum,30.0,425.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5R0P01_4x5_0.png?width=900&height=1125
27,The Revitalizing Mist,100.0,90.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5WLC01_4x5_0.png?width=900&height=1125
28,The Soft Fluid Long Wear Foundation Broad Spectrum SPF 20,30.0,150.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5FT222_4x5_0.png?width=900&height=1125
29,The Treatment Lotion,100.0,130.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_407W01_4x5_0.png?width=900&height=1125
30,The Treatment Lotion,150.0,190.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_407W01_4x5_0.png?width=900&height=1125
31,The Treatment Lotion,200.0,225.0,https://www.cremedelamer.com/media/export/cms/products/responsive/lm_sku_407W01_4x5_0.png?width=900&height=1125
32,The Treatment Lotion Hydrating Mask,0.0,195.0,https://cremedelamer.com/media/export/cms/products/responsive/lm_sku_5PE901_4x5_0.png?width=900&height=1125
